month,event,fatalities
Jun-14,1,2
Jul-14,3,14
Aug-14,0,0
Sep-14,0,0
Oct-14,0,0
Nov-14,2,48
Dec-14,1,10
Jan-15,3,62
Feb-15,5,33
Mar-15,3,94
Apr-15,1,5
May-15,3,62
Jun-15,3,48
Jul-15,4,122
Aug-15,0,0
Sep-15,4,45
Oct-15,3,63
Nov-15,5,45
Dec-15,5,52
Jan-16,3,16
Feb-16,1,60
Mar-16,1,2
Apr-16,1,2
May-16,0,0
Jun-16,0,0
Jul-16,0,0
Aug-16,0,0
Sep-16,0,0
Oct-16,0,0
Nov-16,1,2
Dec-16,2,3
Jan-17,2,13
Feb-17,1,5
Mar-17,1,6
Apr-17,2,3
May-17,2,10
Jun-17,2,4
Jul-17,2,8
Aug-17,2,10
Sep-17,0,0
Oct-17,2,10
Nov-17,1,4
Dec-17,1,2
Jan-18,0,0
Feb-18,0,0
Mar-18,2,4
Apr-18,0,0
May-18,0,0
Jun-18,0,0
Jul-18,0,0
Aug-18,0,0
Sep-18,0,0
Oct-18,1,7
Nov-18,0,0
Dec-18,3,6
Jan-19,0,0
Feb-19,1,2
Mar-19,0,0
Apr-19,0,0
May-19,0,0
Jun-19,0,0
Jul-19,0,0
Aug-19,2,11
Sep-19,0,0
Oct-19,0,0
Nov-19,0,0
Dec-19,0,0
Jan-20,3,14
Feb-20,1,1
Mar-20,0,0
Apr-20,0,0
May-20,1,4
Jun-20,1,1
Jul-20,0,0
Aug-20,0,0
Sep-20,0,0
Oct-20,0,0
Nov-20,0,0
Dec-20,1,3
Jan-21,0,0
Feb-21,0,0
Mar-21,0,0
Apr-21,0,0
May-21,0,0
